매장이름,lat,lng,주소,구
면목늘찬병원점,37.5879908042663,127.079680860838,"서울 중랑구 동일로 643 (면목동, 늘찬병원)",중랑구
면목본동점,37.5849094,127.0885874,서울 중랑구 면목로 370 (면목동),중랑구
면목역점,37.5901934659094,127.086826066156,"서울 중랑구 면목로 429 (면목동, 킴스아파트)",중랑구
봉화산역점,37.6163947,127.0926039,서울 중랑구 신내로 211 (신내동),중랑구
사가정아이파크점,37.5834835948977,127.083196727099,"서울 중랑구 동일로92길 57 (면목동, 메디포레)",중랑구
사가정역점,37.5811447,127.0881679,서울 중랑구 면목로 325 (면목동),중랑구
상봉엠코점,37.5977702,127.0898521,"서울 중랑구 망우로 353 (상봉동, 상봉 프레미어스 엠코)",중랑구
상봉역점,37.5960553404392,127.08342099906,서울 중랑구 망우로 277 (상봉동),중랑구
상봉중앙점,37.5965958,127.0873349,서울 중랑구 망우로 316 (상봉동),중랑구
서울상봉1동점,37.6002908828924,127.087790157773,서울 중랑구 상봉중앙로 36 (상봉동),중랑구
서울의료원점,37.613159711460625,127.09776667760102,"서울 중랑구 신내로 156 (신내동, 서울의료원)",중랑구
서울중화초등학교점,37.60237451498618,127.09544803898844,"서울 중랑구 신내로7가길 7 (신내동, 제이리옴)",중랑구
서일중앙점,37.5866117,127.0955358,"서울 중랑구 용마산로 394 (면목동, 해동검도)",중랑구
신내동점,37.6076181,127.0965284,서울 중랑구 봉화산로 215 (신내동),중랑구
양원역점,37.60748470605642,127.10675146670297,서울 중랑구 양원역로14가길 24 (망우동),중랑구
용마산역점,37.5754345842239,127.085692400436,서울 중랑구 면목로 254-1 (면목동),중랑구
우림시장점,37.5953112037654,127.099371847976,서울 중랑구 봉우재로 240 (망우동),중랑구
중랑교차로점,37.5913937,127.0798713,서울 중랑구 동일로 683 (면목동),중랑구
중랑묵동점,37.61335268312136,127.0775356804549,"서울 중랑구 동일로 932 (묵동, 묵동자이아파트)",중랑구
