,주유소명,주소,브랜드,휘발유 가격,경유 가격,셀프 여부,세차장 여부,충전소 여부,경정비 여부,편의점 여부,24시간 운영 여부,구,위도,경도
302,매봉주유소,서울 영등포구 도신로 248 (신길동),HD현대오일뱅크,1595,1425,Y,Y,N,Y,N,N,영등포구,37.51308849999999,126.9183345
303,(주)MS에너지,서울 영등포구 대림로 230,HD현대오일뱅크,1599,1399,N,Y,N,N,N,N,영등포구,37.5013367,126.8974358
304,행촌주유소,서울 영등포구 도신로 130 (신길동),SK에너지,1599,1399,Y,Y,N,N,Y,Y,영등포구,37.5086161,126.9062365
305,남서울고속주유소,서울 영등포구 가마산로 367 (대림동),SK에너지,1599,1399,Y,Y,N,N,N,Y,영등포구,37.5016028,126.8988662
306,한경석유(주)경덕주유소,서울 영등포구 여의대방로23길 2 (신길동),SK에너지,1599,1399,Y,Y,N,N,N,N,영등포구,37.5176968,126.9169974
307,SK에너지(주) 신길동주유소,서울 영등포구 영등포로 348 (신길동),SK에너지,1614,1439,N,Y,N,N,N,N,영등포구,37.5153215,126.9170112
308,(주)한미석유 제2한강주유소,서울 영등포구 선유로 260 (양평동4가),GS칼텍스,1619,1459,Y,Y,N,N,N,N,영등포구,37.5375352,126.8970104
309,SK에너지(주) 양평주유소,서울 영등포구 선유로 195 (양평동3가),SK에너지,1619,1459,Y,Y,N,N,N,Y,영등포구,37.5290356,126.8910476
310,선유도주유소,서울 영등포구 양평로 141 (양평동5가),S-OIL,1619,1469,Y,Y,N,N,N,N,영등포구,37.5393663,126.8926449
311,SK에너지(주) 기린주유소,서울 영등포구 선유로 270,SK에너지,1639,1479,Y,Y,N,N,Y,Y,영등포구,37.5360437,126.899268
312,국회대로주유소,서울 영등포구 국회대로 746 (여의도동),HD현대오일뱅크,1895,1793,N,Y,N,N,N,N,영등포구,37.52799359999999,126.916041
313,버드나룻길주유소,서울 영등포구 버드나루로 111 (당산동),SK에너지,2050,1840,N,Y,N,N,N,N,영등포구,37.5280177,126.9078708
314,SK KH에너지 여의도주유소,서울 영등포구 국회대로 794 (여의도동),SK에너지,2110,2099,N,Y,N,N,N,N,영등포구,37.5307944,126.9203901
315,SJ오일(주) 여의도주유소,서울 영등포구 은행로 64,GS칼텍스,2199,2360,N,Y,Y,N,Y,Y,영등포구,37.53037990000001,126.9255782
316,HD현대오일뱅크㈜직영 한남동주유소,서울 용산구 한남대로 204 (한남동),HD현대오일뱅크,1848,1748,N,Y,N,Y,N,N,용산구,37.5459695,127.0028749
317,(주)영원 풍기주유소,서울 용산구 원효로 178 (원효로2가),GS칼텍스,1998,1888,N,N,N,N,Y,N,용산구,37.5356171,126.9627002
318,동자동주유소,서울 용산구 한강대로104길 6 (동자동),SK에너지,2005,1910,N,Y,N,N,N,N,용산구,37.5527936,126.9747968
319,HD현대오일뱅크㈜직영 갈월동주유소,서울특별시 용산구  한강대로 322 (남영동),HD현대오일뱅크,2025,1930,N,Y,N,Y,N,N,용산구,37.5470375,126.9722357
320,HD현대오일뱅크㈜직영 강변현대주유소,서울 용산구 원효로 9 (청암동),HD현대오일뱅크,2029,1949,N,Y,N,Y,N,N,용산구,37.53449570000001,126.9466634
321,HD현대오일뱅크(주)직영 소월길주유소,서울 용산구 소월로 66 (후암동),HD현대오일뱅크,2029,1939,N,Y,N,N,N,N,용산구,37.5505845,126.9769958
322,(주)남경주유소,서울 용산구 녹사평대로11길 24,SK에너지,2045,1941,N,Y,N,Y,N,Y,용산구,37.522633,126.9931266
